R,x,y,T,L,kappa,kappa_bulk
0.3,10,1,100,1e-09,0.352918,0.0142127
0.3,10,1,100,1.25893e-09,0.435053,0.0175204
0.3,10,1,100,1.58489e-09,0.534345,0.0215191
0.3,10,1,100,1.99526e-09,0.65361,0.0263222
0.3,10,1,100,2.51189e-09,0.795849,0.0320504
0.3,10,1,100,3.16228e-09,0.964181,0.0388294
0.3,10,1,100,3.98107e-09,1.16173,0.0467853
0.3,10,1,100,5.01187e-09,1.39153,0.0560397
0.3,10,1,100,6.30957e-09,1.65634,0.066704
0.3,10,1,100,7.94328e-09,1.95854,0.0788744
0.3,10,1,100,1e-08,2.3,0.0926257
0.3,10,1,100,1.25893e-08,2.68195,0.108007
0.3,10,1,100,1.58489e-08,3.1049,0.12504
0.3,10,1,100,1.99526e-08,3.56862,0.143715
0.3,10,1,100,2.51189e-08,4.07215,0.163993
0.3,10,1,100,3.16228e-08,4.61382,0.185808
0.3,10,1,100,3.98107e-08,5.19139,0.209067
0.3,10,1,100,5.01187e-08,5.80212,0.233663
0.3,10,1,100,6.30957e-08,6.44293,0.259469
0.3,10,1,100,7.94328e-08,7.11057,0.286357
0.3,10,1,100,1e-07,7.80175,0.314192
0.3,10,1,100,1.25893e-07,8.51322,0.342844
0.3,10,1,100,1.58489e-07,9.24189,0.372189
0.3,10,1,100,1.99526e-07,9.98482,0.402108
0.3,10,1,100,2.51189e-07,10.7392,0.43249
0.3,10,1,100,3.16228e-07,11.5023,0.463222
0.3,10,1,100,3.98107e-07,12.2714,0.494192
0.3,10,1,100,5.01187e-07,13.0433,0.525278
0.3,10,1,100,6.30957e-07,13.8147,0.556346
0.3,10,1,100,7.94328e-07,14.582,0.587245
0.3,10,1,100,1e-06,15.3408,0.617805
0.3,10,1,100,1.25893e-06,16.0868,0.647848
0.3,10,1,100,1.58489e-06,16.8154,0.677187
0.3,10,1,100,1.99526e-06,17.5219,0.705642
0.3,10,1,100,2.51189e-06,18.2025,0.733049
0.3,10,1,100,3.16228e-06,18.8535,0.759269
0.3,10,1,100,3.98107e-06,19.4724,0.784191
0.3,10,1,100,5.01187e-06,20.057,0.807734
0.3,10,1,100,6.30957e-06,20.6059,0.829839
0.3,10,1,100,7.94328e-06,21.1179,0.85046
0.3,10,1,100,1e-05,21.5923,0.869563
0.3,10,1,100,1.25893e-05,22.0282,0.887118
0.3,10,1,100,1.58489e-05,22.4251,0.903102
0.3,10,1,100,1.99526e-05,22.7828,0.917507
0.3,10,1,100,2.51189e-05,23.1014,0.930341
0.3,10,1,100,3.16228e-05,23.382,0.941641
0.3,10,1,100,3.98107e-05,23.6261,0.951469
0.3,10,1,100,5.01187e-05,23.8359,0.959919
0.3,10,1,100,6.30957e-05,24.0142,0.9671
0.3,10,1,100,7.94328e-05,24.1643,0.973142
0.3,10,1,100,0.0001,24.2893,0.978178
0.3,10,1,150,1e-09,0.417643,0.0214472
0.3,10,1,150,1.25893e-09,0.512773,0.0263324
0.3,10,1,150,1.58489e-09,0.626981,0.0321974
0.3,10,1,150,1.99526e-09,0.763117,0.0391883
0.3,10,1,150,2.51189e-09,0.924128,0.0474567
0.3,10,1,150,3.16228e-09,1.11295,0.0571535
0.3,10,1,150,3.98107e-09,1.3324,0.0684229
0.3,10,1,150,5.01187e-09,1.585,0.0813945
0.3,10,1,150,6.30957e-09,1.87284,0.0961758
0.3,10,1,150,7.94328e-09,2.19743,0.112845
0.3,10,1,150,1e-08,2.55959,0.131443
0.3,10,1,150,1.25893e-08,2.95936,0.151972
0.3,10,1,150,1.58489e-08,3.39591,0.17439
0.3,10,1,150,1.99526e-08,3.86764,0.198615
0.3,10,1,150,2.51189e-08,4.37215,0.224523
0.3,10,1,150,3.16228e-08,4.90642,0.251959
0.3,10,1,150,3.98107e-08,5.4669,0.280742
0.3,10,1,150,5.01187e-08,6.04974,0.310672
0.3,10,1,150,6.30957e-08,6.65091,0.341544
0.3,10,1,150,7.94328e-08,7.26644,0.373153
0.3,10,1,150,1e-07,7.89248,0.405302
0.3,10,1,150,1.25893e-07,8.52544,0.437807
0.3,10,1,150,1.58489e-07,9.16205,0.470499
0.3,10,1,150,1.99526e-07,9.79928,0.503222
0.3,10,1,150,2.51189e-07,10.4343,0.535834
0.3,10,1,150,3.16228e-07,11.0644,0.568192
0.3,10,1,150,3.98107e-07,11.6869,0.600157
0.3,10,1,150,5.01187e-07,12.2988,0.631581
0.3,10,1,150,6.30957e-07,12.8971,0.662306
0.3,10,1,150,7.94328e-07,13.4786,0.692168
0.3,10,1,150,1e-06,14.0401,0.721
0.3,10,1,150,1.25893e-06,14.5783,0.748638
0.3,10,1,150,1.58489e-06,15.0903,0.774933
0.3,10,1,150,1.99526e-06,15.5737,0.799757
0.3,10,1,150,2.51189e-06,16.0265,0.82301
0.3,10,1,150,3.16228e-06,16.4474,0.844621
0.3,10,1,150,3.98107e-06,16.8354,0.864546
0.3,10,1,150,5.01187e-06,17.1901,0.882765
0.3,10,1,150,6.30957e-06,17.5117,0.89928
0.3,10,1,150,7.94328e-06,17.8006,0.914114
0.3,10,1,150,1e-05,18.0575,0.927309
0.3,10,1,150,1.25893e-05,18.2838,0.938926
0.3,10,1,150,1.58489e-05,18.4809,0.949048
0.3,10,1,150,1.99526e-05,18.6508,0.957775
0.3,10,1,150,2.51189e-05,18.7958,0.965222
0.3,10,1,150,3.16228e-05,18.9184,0.971515
0.3,10,1,150,3.98107e-05,19.021,0.976785
0.3,10,1,150,5.01187e-05,19.1062,0.981163
0.3,10,1,150,6.30957e-05,19.1765,0.984771
0.3,10,1,150,7.94328e-05,19.2341,0.987728
0.3,10,1,150,0.0001,19.281,0.990137
0.3,10,1,200,1e-09,0.443618,0.0265878
0.3,10,1,200,1.25893e-09,0.543099,0.03255
0.3,10,1,200,1.58489e-09,0.661947,0.0396731
0.3,10,1,200,1.99526e-09,0.80286,0.0481185
0.3,10,1,200,2.51189e-09,0.968556,0.0580493
0.3,10,1,200,3.16228e-09,1.16166,0.069623
0.3,10,1,200,3.98107e-09,1.38458,0.0829833
0.3,10,1,200,5.01187e-09,1.63933,0.0982516
0.3,10,1,200,6.30957e-09,1.92742,0.115518
0.3,10,1,200,7.94328e-09,2.2497,0.134833
0.3,10,1,200,1e-08,2.60627,0.156204
0.3,10,1,200,1.25893e-08,2.99641,0.179586
0.3,10,1,200,1.58489e-08,3.41861,0.204891
0.3,10,1,200,1.99526e-08,3.8706,0.23198
0.3,10,1,200,2.51189e-08,4.34942,0.260678
0.3,10,1,200,3.16228e-08,4.85163,0.290777
0.3,10,1,200,3.98107e-08,5.37344,0.322051
0.3,10,1,200,5.01187e-08,5.91088,0.354262
0.3,10,1,200,6.30957e-08,6.46002,0.387174
0.3,10,1,200,7.94328e-08,7.01707,0.42056
0.3,10,1,200,1e-07,7.57851,0.454209
0.3,10,1,200,1.25893e-07,8.14111,0.487928
0.3,10,1,200,1.58489e-07,8.70194,0.521541
0.3,10,1,200,1.99526e-07,9.2583,0.554886
0.3,10,1,200,2.51189e-07,9.80765,0.587811
0.3,10,1,200,3.16228e-07,10.3475,0.620165
0.3,10,1,200,3.98107e-07,10.8753,0.651798
0.3,10,1,200,5.01187e-07,11.3884,0.682553
0.3,10,1,200,6.30957e-07,11.8843,0.71227
0.3,10,1,200,7.94328e-07,12.3601,0.74079
0.3,10,1,200,1e-06,12.8135,0.767961
0.3,10,1,200,1.25893e-06,13.242,0.793645
0.3,10,1,200,1.58489e-06,13.6438,0.817727
0.3,10,1,200,1.99526e-06,14.0174,0.840115
0.3,10,1,200,2.51189e-06,14.3617,0.860751
0.3,10,1,200,3.16228e-06,14.6762,0.879601
0.3,10,1,200,3.98107e-06,14.9609,0.896662
0.3,10,1,200,5.01187e-06,15.2161,0.911958
0.3,10,1,200,6.30957e-06,15.4426,0.925535
0.3,10,1,200,7.94328e-06,15.6417,0.937466
0.3,10,1,200,1e-05,15.8148,0.947844
0.3,10,1,200,1.25893e-05,15.9639,0.95678
0.3,10,1,200,1.58489e-05,16.0911,0.9644
0.3,10,1,200,1.99526e-05,16.1984,0.970836
0.3,10,1,200,2.51189e-05,16.2884,0.976225
0.3,10,1,200,3.16228e-05,16.3631,0.980701
0.3,10,1,200,3.98107e-05,16.4247,0.984393
0.3,10,1,200,5.01187e-05,16.4751,0.987419
0.3,10,1,200,6.30957e-05,16.5163,0.989886
0.3,10,1,200,7.94328e-05,16.5497,0.991887
0.3,10,1,200,0.0001,16.5767,0.993504
0.3,10,1,250,1e-09,0.454199,0.0306153
0.3,10,1,250,1.25893e-09,0.554777,0.0373948
0.3,10,1,250,1.58489e-09,0.674477,0.0454632
0.3,10,1,250,1.99526e-09,0.81581,0.0549898
0.3,10,1,250,2.51189e-09,0.981256,0.0661417
0.3,10,1,250,3.16228e-09,1.17314,0.0790757
0.3,10,1,250,3.98107e-09,1.39351,0.0939296
0.3,10,1,250,5.01187e-09,1.64397,0.110812
0.3,10,1,250,6.30957e-09,1.92558,0.129794
0.3,10,1,250,7.94328e-09,2.23871,0.1509
0.3,10,1,250,1e-08,2.58298,0.174106
0.3,10,1,250,1.25893e-08,2.95724,0.199333
0.3,10,1,250,1.58489e-08,3.35958,0.226453
0.3,10,1,250,1.99526e-08,3.78744,0.255293
0.3,10,1,250,2.51189e-08,4.23768,0.285641
0.3,10,1,250,3.16228e-08,4.7068,0.317262
0.3,10,1,250,3.98107e-08,5.19108,0.349905
0.3,10,1,250,5.01187e-08,5.68676,0.383317
0.3,10,1,250,6.30957e-08,6.1902,0.417251
0.3,10,1,250,7.94328e-08,6.69794,0.451476
0.3,10,1,250,1e-07,7.20686,0.485779
0.3,10,1,250,1.25893e-07,7.71406,0.519967
0.3,10,1,250,1.58489e-07,8.21695,0.553864
0.3,10,1,250,1.99526e-07,8.71306,0.587305
0.3,10,1,250,2.51189e-07,9.20007,0.620131
0.3,10,1,250,3.16228e-07,9.67564,0.652188
0.3,10,1,250,3.98107e-07,10.1374,0.683316
0.3,10,1,250,5.01187e-07,10.5831,0.713357
0.3,10,1,250,6.30957e-07,11.0104,0.742155
0.3,10,1,250,7.94328e-07,11.4169,0.76956
0.3,10,1,250,1e-06,11.8008,0.795436
0.3,10,1,250,1.25893e-06,12.1603,0.819666
0.3,10,1,250,1.58489e-06,12.494,0.842159
0.3,10,1,250,1.99526e-06,12.801,0.862851
0.3,10,1,250,2.51189e-06,13.0808,0.881711
0.3,10,1,250,3.16228e-06,13.3333,0.898734
0.3,10,1,250,3.98107e-06,13.559,0.913946
0.3,10,1,250,5.01187e-06,13.7586,0.927403
0.3,10,1,250,6.30957e-06,13.9334,0.939184
0.3,10,1,250,7.94328e-06,14.0849,0.949394
0.3,10,1,250,1e-05,14.2149,0.958154
0.3,10,1,250,1.25893e-05,14.3253,0.965596
0.3,10,1,250,1.58489e-05,14.4182,0.971863
0.3,10,1,250,1.99526e-05,14.4959,0.977096
0.3,10,1,250,2.51189e-05,14.5602,0.981431
0.3,10,1,250,3.16228e-05,14.6131,0.984999
0.3,10,1,250,3.98107e-05,14.6564,0.987918
0.3,10,1,250,5.01187e-05,14.6917,0.990294
0.3,10,1,250,6.30957e-05,14.7202,0.992219
0.3,10,1,250,7.94328e-05,14.7433,0.993773
0.3,10,1,250,0.0001,14.7618,0.995024
0.3,10,1,300,1e-09,0.457998,0.0339971
0.3,10,1,300,1.25893e-09,0.558324,0.0414443
0.3,10,1,300,1.58489e-09,0.677343,0.050279
0.3,10,1,300,1.99526e-09,0.817385,0.0606743
0.3,10,1,300,2.51189e-09,0.980707,0.0727977
0.3,10,1,300,3.16228e-09,1.16938,0.0868025
0.3,10,1,300,3.98107e-09,1.38513,0.102818
0.3,10,1,300,5.01187e-09,1.62925,0.120939
0.3,10,1,300,6.30957e-09,1.90244,0.141217
0.3,10,1,300,7.94328e-09,2.20472,0.163656
0.3,10,1,300,1e-08,2.53539,0.188202
0.3,10,1,300,1.25893e-08,2.89302,0.214749
0.3,10,1,300,1.58489e-08,3.27551,0.24314
0.3,10,1,300,1.99526e-08,3.68014,0.273176
0.3,10,1,300,2.51189e-08,4.10379,0.304624
0.3,10,1,300,3.16228e-08,4.54303,0.337228
0.3,10,1,300,3.98107e-08,4.99433,0.370728
0.3,10,1,300,5.01187e-08,5.45418,0.404863
0.3,10,1,300,6.30957e-08,5.91925,0.439385
0.3,10,1,300,7.94328e-08,6.38644,0.474064
0.3,10,1,300,1e-07,6.8529,0.508689
0.3,10,1,300,1.25893e-07,7.31605,0.543069
0.3,10,1,300,1.58489e-07,7.7735,0.577026
0.3,10,1,300,1.99526e-07,8.223,0.610392
0.3,10,1,300,2.51189e-07,8.66235,0.643004
0.3,10,1,300,3.16228e-07,9.08938,0.674703
0.3,10,1,300,3.98107e-07,9.50194,0.705327
0.3,10,1,300,5.01187e-07,9.89789,0.734718
0.3,10,1,300,6.30957e-07,10.2752,0.762725
0.3,10,1,300,7.94328e-07,10.632,0.789208
0.3,10,1,300,1e-06,10.9665,0.814044
0.3,10,1,300,1.25893e-06,11.2776,0.837136
0.3,10,1,300,1.58489e-06,11.5642,0.85841
0.3,10,1,300,1.99526e-06,11.8258,0.877824
0.3,10,1,300,2.51189e-06,12.0621,0.895368
0.3,10,1,300,3.16228e-06,12.2735,0.91106
0.3,10,1,300,3.98107e-06,12.4606,0.92495
0.3,10,1,300,5.01187e-06,12.6246,0.937118
0.3,10,1,300,6.30957e-06,12.7667,0.947667
0.3,10,1,300,7.94328e-06,12.8886,0.95672
0.3,10,1,300,1e-05,12.9923,0.964413
0.3,10,1,300,1.25893e-05,13.0795,0.970892
0.3,10,1,300,1.58489e-05,13.1524,0.976303
0.3,10,1,300,1.99526e-05,13.2128,0.980787
0.3,10,1,300,2.51189e-05,13.2626,0.984477
0.3,10,1,300,3.16228e-05,13.3032,0.987497
0.3,10,1,300,3.98107e-05,13.3363,0.989955
0.3,10,1,300,5.01187e-05,13.3632,0.991946
0.3,10,1,300,6.30957e-05,13.3848,0.993555
0.3,10,1,300,7.94328e-05,13.4023,0.994849
0.3,10,1,300,0.0001,13.4163,0.995889
0.3,10,1,400,1e-09,0.457312,0.0396514
0.3,10,1,400,1.25893e-09,0.555656,0.0481784
0.3,10,1,400,1.58489e-09,0.671704,0.0582404
0.3,10,1,400,1.99526e-09,0.807472,0.0700123
0.3,10,1,400,2.51189e-09,0.964843,0.0836571
0.3,10,1,400,3.16228e-09,1.14545,0.099317
0.3,10,1,400,3.98107e-09,1.35057,0.117102
0.3,10,1,400,5.01187e-09,1.58098,0.13708
0.3,10,1,400,6.30957e-09,1.83689,0.159268
0.3,10,1,400,7.94328e-09,2.11785,0.18363
0.3,10,1,400,1e-08,2.42279,0.210069
0.3,10,1,400,1.25893e-08,2.74997,0.238438
0.3,10,1,400,1.58489e-08,3.09714,0.268539
0.3,10,1,400,1.99526e-08,3.46158,0.300138
0.3,10,1,400,2.51189e-08,3.84033,0.332977
0.3,10,1,400,3.16228e-08,4.23025,0.366785
0.3,10,1,400,3.98107e-08,4.62822,0.401292
0.3,10,1,400,5.01187e-08,5.03125,0.436237
0.3,10,1,400,6.30957e-08,5.43652,0.471376
0.3,10,1,400,7.94328e-08,5.84144,0.506485
0.3,10,1,400,1e-07,6.24362,0.541356
0.3,10,1,400,1.25893e-07,6.64087,0.5758
0.3,10,1,400,1.58489e-07,7.03111,0.609636
0.3,10,1,400,1.99526e-07,7.41233,0.64269
0.3,10,1,400,2.51189e-07,7.78259,0.674793
0.3,10,1,400,3.16228e-07,8.13996,0.705779
0.3,10,1,400,3.98107e-07,8.48257,0.735486
0.3,10,1,400,5.01187e-07,8.80868,0.763761
0.3,10,1,400,6.30957e-07,9.11668,0.790466
0.3,10,1,400,7.94328e-07,9.40516,0.815478
0.3,10,1,400,1e-06,9.67298,0.838701
0.3,10,1,400,1.25893e-06,9.91933,0.86006
0.3,10,1,400,1.58489e-06,10.1437,0.879516
0.3,10,1,400,1.99526e-06,10.346,0.897057
0.3,10,1,400,2.51189e-06,10.5265,0.912707
0.3,10,1,400,3.16228e-06,10.6858,0.92652
0.3,10,1,400,3.98107e-06,10.8249,0.938582
0.3,10,1,400,5.01187e-06,10.9452,0.949005
0.3,10,1,400,6.30957e-06,11.048,0.957919
0.3,10,1,400,7.94328e-06,11.1351,0.96547
0.3,10,1,400,1e-05,11.2082,0.971809
0.3,10,1,400,1.25893e-05,11.269,0.977087
0.3,10,1,400,1.58489e-05,11.3194,0.98145
0.3,10,1,400,1.99526e-05,11.3607,0.985031
0.3,10,1,400,2.51189e-05,11.3944,0.987956
0.3,10,1,400,3.16228e-05,11.4218,0.990332
0.3,10,1,400,3.98107e-05,11.444,0.992255
0.3,10,1,400,5.01187e-05,11.4619,0.993805
0.3,10,1,400,6.30957e-05,11.4762,0.995052
0.3,10,1,400,7.94328e-05,11.4878,0.996052
0.3,10,1,400,0.0001,11.497,0.996853
0.3,10,1,500,1e-09,0.452546,0.0444462
0.3,10,1,500,1.25893e-09,0.548343,0.0538547
0.3,10,1,500,1.58489e-09,0.660886,0.064908
0.3,10,1,500,1.99526e-09,0.791932,0.0777784
0.3,10,1,500,2.51189e-09,0.943064,0.0926217
0.3,10,1,500,3.16228e-09,1.11559,0.109566
0.3,10,1,500,3.98107e-09,1.31043,0.128702
0.3,10,1,500,5.01187e-09,1.52801,0.150071
0.3,10,1,500,6.30957e-09,1.76822,0.173663
0.3,10,1,500,7.94328e-09,2.03033,0.199406
0.3,10,1,500,1e-08,2.31306,0.227173
0.3,10,1,500,1.25893e-08,2.61456,0.256786
0.3,10,1,500,1.58489e-08,2.93259,0.28802
0.3,10,1,500,1.99526e-08,3.26455,0.320623
0.3,10,1,500,2.51189e-08,3.6077,0.354325
0.3,10,1,500,3.16228e-08,3.95921,0.388849
0.3,10,1,500,3.98107e-08,4.31635,0.423925
0.3,10,1,500,5.01187e-08,4.67651,0.459297
0.3,10,1,500,6.30957e-08,5.03726,0.494727
0.3,10,1,500,7.94328e-08,5.39635,0.529995
0.3,10,1,500,1e-07,5.75172,0.564897
0.3,10,1,500,1.25893e-07,6.1014,0.59924
0.3,10,1,500,1.58489e-07,6.44352,0.632841
0.3,10,1,500,1.99526e-07,6.77627,0.665522
0.3,10,1,500,2.51189e-07,7.09787,0.697107
0.3,10,1,500,3.16228e-07,7.40662,0.72743
0.3,10,1,500,3.98107e-07,7.7009,0.756333
0.3,10,1,500,5.01187e-07,7.97924,0.78367
0.3,10,1,500,6.30957e-07,8.24035,0.809314
0.3,10,1,500,7.94328e-07,8.48316,0.833161
0.3,10,1,500,1e-06,8.70685,0.855131
0.3,10,1,500,1.25893e-06,8.91093,0.875174
0.3,10,1,500,1.58489e-06,9.09521,0.893273
0.3,10,1,500,1.99526e-06,9.25984,0.909442
0.3,10,1,500,2.51189e-06,9.40535,0.923733
0.3,10,1,500,3.16228e-06,9.53255,0.936225
0.3,10,1,500,3.98107e-06,9.64256,0.94703
0.3,10,1,500,5.01187e-06,9.73672,0.956278
0.3,10,1,500,6.30957e-06,9.81653,0.964116
0.3,10,1,500,7.94328e-06,9.88356,0.970699
0.3,10,1,500,1e-05,9.93939,0.976183
0.3,10,1,500,1.25893e-05,9.98554,0.980715
0.3,10,1,500,1.58489e-05,10.0234,0.984438
0.3,10,1,500,1.99526e-05,10.0544,0.987478
0.3,10,1,500,2.51189e-05,10.0795,0.989948
0.3,10,1,500,3.16228e-05,10.0999,0.991947
0.3,10,1,500,3.98107e-05,10.1163,0.993559
0.3,10,1,500,5.01187e-05,10.1295,0.994855
0.3,10,1,500,6.30957e-05,10.1401,0.995895
0.3,10,1,500,7.94328e-05,10.1486,0.996728
0.3,10,1,500,0.0001,10.1554,0.997393
0.3,10,20,100,1e-09,0.258634,0.0208653
0.3,10,20,100,1.25893e-09,0.317327,0.0256003
0.3,10,20,100,1.58489e-09,0.38773,0.0312801
0.3,10,20,100,1.99526e-09,0.471563,0.0380433
0.3,10,20,100,2.51189e-09,0.570586,0.046032
0.3,10,20,100,3.16228e-09,0.686529,0.0553857
0.3,10,20,100,3.98107e-09,0.821013,0.0662352
0.3,10,20,100,5.01187e-09,0.975455,0.0786947
0.3,10,20,100,6.30957e-09,1.15097,0.0928545
0.3,10,20,100,7.94328e-09,1.34829,0.108773
0.3,10,20,100,1e-08,1.56767,0.126472
0.3,10,20,100,1.25893e-08,1.80885,0.145929
0.3,10,20,100,1.58489e-08,2.07102,0.16708
0.3,10,20,100,1.99526e-08,2.35282,0.189814
0.3,10,20,100,2.51189e-08,2.65238,0.21398
0.3,10,20,100,3.16228e-08,2.96739,0.239394
0.3,10,20,100,3.98107e-08,3.29522,0.265841
0.3,10,20,100,5.01187e-08,3.633,0.293092
0.3,10,20,100,6.30957e-08,3.97779,0.320908
0.3,10,20,100,7.94328e-08,4.32671,0.349057
0.3,10,20,100,1e-07,4.67709,0.377324
0.3,10,20,100,1.25893e-07,5.02659,0.40552
0.3,10,20,100,1.58489e-07,5.37329,0.43349
0.3,10,20,100,1.99526e-07,5.71574,0.461117
0.3,10,20,100,2.51189e-07,6.05292,0.488319
0.3,10,20,100,3.16228e-07,6.38417,0.515042
0.3,10,20,100,3.98107e-07,6.70906,0.541253
0.3,10,20,100,5.01187e-07,7.02729,0.566926
0.3,10,20,100,6.30957e-07,7.33853,0.592035
0.3,10,20,100,7.94328e-07,7.64243,0.616553
0.3,10,20,100,1e-06,7.9386,0.640446
0.3,10,20,100,1.25893e-06,8.22668,0.663687
0.3,10,20,100,1.58489e-06,8.50642,0.686255
0.3,10,20,100,1.99526e-06,8.77777,0.708146
0.3,10,20,100,2.51189e-06,9.04092,0.729376
0.3,10,20,100,3.16228e-06,9.2963,0.749979
0.3,10,20,100,3.98107e-06,9.5445,0.770002
0.3,10,20,100,5.01187e-06,9.78608,0.789491
0.3,10,20,100,6.30957e-06,10.0214,0.808477
0.3,10,20,100,7.94328e-06,10.2505,0.826956
0.3,10,20,100,1e-05,10.4727,0.844885
0.3,10,20,100,1.25893e-05,10.687,0.862175
0.3,10,20,100,1.58489e-05,10.8918,0.878696
0.3,10,20,100,1.99526e-05,11.0852,0.894295
0.3,10,20,100,2.51189e-05,11.2652,0.908818
0.3,10,20,100,3.16228e-05,11.4302,0.922131
0.3,10,20,100,3.98107e-05,11.579,0.934138
0.3,10,20,100,5.01187e-05,11.7111,0.944794
0.3,10,20,100,6.30957e-05,11.8265,0.954106
0.3,10,20,100,7.94328e-05,11.926,0.962127
0.3,10,20,100,0.0001,12.0105,0.968948
0.3,10,20,150,1e-09,0.292401,0.0277702
0.3,10,20,150,1.25893e-09,0.357246,0.0339287
0.3,10,20,150,1.58489e-09,0.434494,0.0412652
0.3,10,20,150,1.99526e-09,0.525796,0.0499364
0.3,10,20,150,2.51189e-09,0.632781,0.0600971
0.3,10,20,150,3.16228e-09,0.756987,0.0718933
0.3,10,20,150,3.98107e-09,0.899767,0.0854535
0.3,10,20,150,5.01187e-09,1.0622,0.10088
